attribute,Before filtering,After filtering,sample
Total Reads (millions),47.238753,46.977041,SRX1025903_IMR90_Etop_DRIP
Total Bases (millions),2409.176403,2395.829091,SRX1025903_IMR90_Etop_DRIP
Q20 Bases (millions),2369.595819,2363.242759,SRX1025903_IMR90_Etop_DRIP
Q30 Bases (millions),2304.841143,2299.09465,SRX1025903_IMR90_Etop_DRIP
Q20 Rate,0.983571,0.986399,SRX1025903_IMR90_Etop_DRIP
Q30 Rate,0.956693,0.959624,SRX1025903_IMR90_Etop_DRIP
Read1 Mean Length,51,51,SRX1025903_IMR90_Etop_DRIP
GC Content,0.375661,0.375619,SRX1025903_IMR90_Etop_DRIP
Total Reads (millions),41.71546,41.383179,SRX1025904_IMR90_RNH
Total Bases (millions),2127.48846,2110.542129,SRX1025904_IMR90_RNH
Q20 Bases (millions),2084.615014,2076.519107,SRX1025904_IMR90_RNH
Q30 Bases (millions),2020.200353,2012.887341,SRX1025904_IMR90_RNH
Q20 Rate,0.979848,0.983879,SRX1025904_IMR90_RNH
Q30 Rate,0.949571,0.95373,SRX1025904_IMR90_RNH
Read1 Mean Length,51,51,SRX1025904_IMR90_RNH
GC Content,0.396281,0.39637,SRX1025904_IMR90_RNH
Total Reads (millions),41.391972,41.186992,SRX1025906_U2OS-pMSCV_NT_DRIP
Total Bases (millions),2110.990572,2096.7708,SRX1025906_U2OS-pMSCV_NT_DRIP
Q20 Bases (millions),2069.525816,2060.888894,SRX1025906_U2OS-pMSCV_NT_DRIP
Q30 Bases (millions),2004.041509,1995.998265,SRX1025906_U2OS-pMSCV_NT_DRIP
Q20 Rate,0.980358,0.982887,SRX1025906_U2OS-pMSCV_NT_DRIP
Q30 Rate,0.949337,0.951939,SRX1025906_U2OS-pMSCV_NT_DRIP
Read1 Mean Length,51,50,SRX1025906_U2OS-pMSCV_NT_DRIP
GC Content,0.380991,0.381698,SRX1025906_U2OS-pMSCV_NT_DRIP
Total Reads (millions),51.691929,51.228442,SRX1025907_U2OS-pMSCV_Etop_DRIP
Total Bases (millions),2636.288379,2612.650542,SRX1025907_U2OS-pMSCV_Etop_DRIP
Q20 Bases (millions),2566.626641,2555.516808,SRX1025907_U2OS-pMSCV_Etop_DRIP
Q30 Bases (millions),2471.026233,2461.133761,SRX1025907_U2OS-pMSCV_Etop_DRIP
Q20 Rate,0.973576,0.978132,SRX1025907_U2OS-pMSCV_Etop_DRIP
Q30 Rate,0.937313,0.942006,SRX1025907_U2OS-pMSCV_Etop_DRIP
Read1 Mean Length,51,51,SRX1025907_U2OS-pMSCV_Etop_DRIP
GC Content,0.441149,0.441424,SRX1025907_U2OS-pMSCV_Etop_DRIP
Total Reads (millions),42.730119,42.564206,SRX1025908_U2OS-siCtrl_NT_DRIP
Total Bases (millions),2179.236069,2167.177482,SRX1025908_U2OS-siCtrl_NT_DRIP
Q20 Bases (millions),2138.352173,2130.712743,SRX1025908_U2OS-siCtrl_NT_DRIP
Q30 Bases (millions),2073.62364,2066.487724,SRX1025908_U2OS-siCtrl_NT_DRIP
Q20 Rate,0.981239,0.983174,SRX1025908_U2OS-siCtrl_NT_DRIP
Q30 Rate,0.951537,0.953539,SRX1025908_U2OS-siCtrl_NT_DRIP
Read1 Mean Length,51,50,SRX1025908_U2OS-siCtrl_NT_DRIP
GC Content,0.388213,0.388859,SRX1025908_U2OS-siCtrl_NT_DRIP
Total Reads (millions),39.211192,39.005949,SRX1025909_U2OS-siCtrl_Etop_DRIP
Total Bases (millions),1999.770792,1985.722433,SRX1025909_U2OS-siCtrl_Etop_DRIP
Q20 Bases (millions),1959.833995,1951.246649,SRX1025909_U2OS-siCtrl_Etop_DRIP
Q30 Bases (millions),1899.95445,1891.948244,SRX1025909_U2OS-siCtrl_Etop_DRIP
Q20 Rate,0.980029,0.982638,SRX1025909_U2OS-siCtrl_Etop_DRIP
Q30 Rate,0.950086,0.952776,SRX1025909_U2OS-siCtrl_Etop_DRIP
Read1 Mean Length,51,50,SRX1025909_U2OS-siCtrl_Etop_DRIP
GC Content,0.387526,0.388276,SRX1025909_U2OS-siCtrl_Etop_DRIP
Total Reads (millions),40.343515,40.153612,SRX1025910_U2OS-siEWSR1-1_NT_DRIP
Total Bases (millions),2057.519265,2043.766077,SRX1025910_U2OS-siEWSR1-1_NT_DRIP
Q20 Bases (millions),2018.889143,2010.131465,SRX1025910_U2OS-siEWSR1-1_NT_DRIP
Q30 Bases (millions),1959.399427,1951.179421,SRX1025910_U2OS-siEWSR1-1_NT_DRIP
Q20 Rate,0.981225,0.983543,SRX1025910_U2OS-siEWSR1-1_NT_DRIP
Q30 Rate,0.952312,0.954698,SRX1025910_U2OS-siEWSR1-1_NT_DRIP
Read1 Mean Length,51,50,SRX1025910_U2OS-siEWSR1-1_NT_DRIP
GC Content,0.368695,0.369425,SRX1025910_U2OS-siEWSR1-1_NT_DRIP
Total Reads (millions),49.326506,49.156372,SRX1025911_U2OS-siEWSR1-1_Etop_DRIP
Total Bases (millions),2515.651806,2505.148102,SRX1025911_U2OS-siEWSR1-1_Etop_DRIP
Q20 Bases (millions),2473.812189,2467.490342,SRX1025911_U2OS-siEWSR1-1_Etop_DRIP
Q30 Bases (millions),2405.899155,2400.008619,SRX1025911_U2OS-siEWSR1-1_Etop_DRIP
Q20 Rate,0.983368,0.984968,SRX1025911_U2OS-siEWSR1-1_Etop_DRIP
Q30 Rate,0.956372,0.958031,SRX1025911_U2OS-siEWSR1-1_Etop_DRIP
Read1 Mean Length,51,50,SRX1025911_U2OS-siEWSR1-1_Etop_DRIP
GC Content,0.333208,0.333316,SRX1025911_U2OS-siEWSR1-1_Etop_DRIP
Total Reads (millions),46.425135,46.231619,SRX1025912_U2OS-siEWSR1-2_NT_DRIP
Total Bases (millions),2367.681885,2352.896464,SRX1025912_U2OS-siEWSR1-2_NT_DRIP
Q20 Bases (millions),2325.483759,2315.666576,SRX1025912_U2OS-siEWSR1-2_NT_DRIP
Q30 Bases (millions),2258.145469,2248.904645,SRX1025912_U2OS-siEWSR1-2_NT_DRIP
Q20 Rate,0.982177,0.984177,SRX1025912_U2OS-siEWSR1-2_NT_DRIP
Q30 Rate,0.953737,0.955803,SRX1025912_U2OS-siEWSR1-2_NT_DRIP
Read1 Mean Length,51,50,SRX1025912_U2OS-siEWSR1-2_NT_DRIP
GC Content,0.357363,0.358025,SRX1025912_U2OS-siEWSR1-2_NT_DRIP
Total Reads (millions),47.585611,47.414726,SRX1025913_U2OS-siEWSR1-2_Etop_DRIP
Total Bases (millions),2426.866161,2412.817646,SRX1025913_U2OS-siEWSR1-2_Etop_DRIP
Q20 Bases (millions),2385.096296,2375.429044,SRX1025913_U2OS-siEWSR1-2_Etop_DRIP
Q30 Bases (millions),2317.707956,2308.573385,SRX1025913_U2OS-siEWSR1-2_Etop_DRIP
Q20 Rate,0.982789,0.984504,SRX1025913_U2OS-siEWSR1-2_Etop_DRIP
Q30 Rate,0.955021,0.956796,SRX1025913_U2OS-siEWSR1-2_Etop_DRIP
Read1 Mean Length,51,50,SRX1025913_U2OS-siEWSR1-2_Etop_DRIP
GC Content,0.34848,0.349145,SRX1025913_U2OS-siEWSR1-2_Etop_DRIP
Total Reads (millions),37.476601,37.328943,SRX1025914_U2OS_RNH
Total Bases (millions),1911.306651,1903.776093,SRX1025914_U2OS_RNH
Q20 Bases (millions),1875.956291,1872.382176,SRX1025914_U2OS_RNH
Q30 Bases (millions),1820.134361,1816.924396,SRX1025914_U2OS_RNH
Q20 Rate,0.981505,0.98351,SRX1025914_U2OS_RNH
Q30 Rate,0.952298,0.954379,SRX1025914_U2OS_RNH
Read1 Mean Length,51,51,SRX1025914_U2OS_RNH
GC Content,0.361559,0.361549,SRX1025914_U2OS_RNH
Total Reads (millions),124.62143,93.777474,SRX1029475_IMR90_RDIP
Total Bases (millions),12586.76443,9013.873986,SRX1029475_IMR90_RDIP
Q20 Bases (millions),10459.680679,8806.169662,SRX1029475_IMR90_RDIP
Q30 Bases (millions),9652.746639,8215.400765,SRX1029475_IMR90_RDIP
Q20 Rate,0.831006,0.976957,SRX1029475_IMR90_RDIP
Q30 Rate,0.766897,0.911417,SRX1029475_IMR90_RDIP
Read1 Mean Length,101,96,SRX1029475_IMR90_RDIP
Read2 Mean Length,101,96,SRX1029475_IMR90_RDIP
GC Content,0.4787,0.477481,SRX1029475_IMR90_RDIP
Total Reads (millions),75.436196,64.925614,SRX1029477_HEK293T_RDIP
Total Bases (millions),7619.055796,6379.15038,SRX1029477_HEK293T_RDIP
Q20 Bases (millions),6865.830355,6186.74023,SRX1029477_HEK293T_RDIP
Q30 Bases (millions),6300.014018,5747.181288,SRX1029477_HEK293T_RDIP
Q20 Rate,0.901139,0.969838,SRX1029477_HEK293T_RDIP
Q30 Rate,0.82687600000000006,0.900932,SRX1029477_HEK293T_RDIP
Read1 Mean Length,101,98,SRX1029477_HEK293T_RDIP
Read2 Mean Length,101,98,SRX1029477_HEK293T_RDIP
GC Content,0.47591,0.472155,SRX1029477_HEK293T_RDIP
Total Reads (millions),40.206436,39.064494,SRX1070676_NT2_DRIPc-seq_rep_1
Total Bases (millions),2010.3218,1953.2247,SRX1070676_NT2_DRIPc-seq_rep_1
Q20 Bases (millions),1943.920832,1933.82976,SRX1070676_NT2_DRIPc-seq_rep_1
Q30 Bases (millions),1907.535112,1900.998034,SRX1070676_NT2_DRIPc-seq_rep_1
Q20 Rate,0.96697,0.99007,SRX1070676_NT2_DRIPc-seq_rep_1
Q30 Rate,0.948871,0.973261,SRX1070676_NT2_DRIPc-seq_rep_1
Read1 Mean Length,50,50,SRX1070676_NT2_DRIPc-seq_rep_1
GC Content,0.408797,0.406872,SRX1070676_NT2_DRIPc-seq_rep_1
Total Reads (millions),24.47653,23.509552,SRX1070677_NT2_DRIPc-seq_rep_2
Total Bases (millions),1223.8265,1175.361286,SRX1070677_NT2_DRIPc-seq_rep_2
Q20 Bases (millions),1168.581527,1162.015798,SRX1070677_NT2_DRIPc-seq_rep_2
Q30 Bases (millions),1144.766384,1140.418209,SRX1070677_NT2_DRIPc-seq_rep_2
Q20 Rate,0.954859,0.988646,SRX1070677_NT2_DRIPc-seq_rep_2
Q30 Rate,0.935399,0.97027,SRX1070677_NT2_DRIPc-seq_rep_2
Read1 Mean Length,50,49,SRX1070677_NT2_DRIPc-seq_rep_2
GC Content,0.474334,0.471714,SRX1070677_NT2_DRIPc-seq_rep_2
Total Reads (millions),60.933938,58.406404,SRX1070678_NT2_DRIP-seq_1
Total Bases (millions),3046.6969,2920.3202,SRX1070678_NT2_DRIP-seq_1
Q20 Bases (millions),2896.224141,2879.204472,SRX1070678_NT2_DRIP-seq_1
Q30 Bases (millions),2822.518021,2811.599252,SRX1070678_NT2_DRIP-seq_1
Q20 Rate,0.950611,0.985921,SRX1070678_NT2_DRIP-seq_1
Q30 Rate,0.926419,0.962771,SRX1070678_NT2_DRIP-seq_1
Read1 Mean Length,50,50,SRX1070678_NT2_DRIP-seq_1
GC Content,0.475567,0.473814,SRX1070678_NT2_DRIP-seq_1
Total Reads (millions),39.783302,38.3995,SRX1070679_NT2_DRIP-seq_2
Total Bases (millions),1989.1651,1919.975,SRX1070679_NT2_DRIP-seq_2
Q20 Bases (millions),1904.724902,1893.981242,SRX1070679_NT2_DRIP-seq_2
Q30 Bases (millions),1856.349955,1849.55617,SRX1070679_NT2_DRIP-seq_2
Q20 Rate,0.95755,0.986461,SRX1070679_NT2_DRIP-seq_2
Q30 Rate,0.933231,0.963323,SRX1070679_NT2_DRIP-seq_2
Read1 Mean Length,50,50,SRX1070679_NT2_DRIP-seq_2
GC Content,0.490202,0.489002,SRX1070679_NT2_DRIP-seq_2
Total Reads (millions),43.53638,40.5153,SRX1070680_NT2_DRIP-seq_RNaseA
Total Bases (millions),4353.638,4051.53,SRX1070680_NT2_DRIP-seq_RNaseA
Q20 Bases (millions),4001.099349,3934.908686,SRX1070680_NT2_DRIP-seq_RNaseA
Q30 Bases (millions),3747.449732,3702.830503,SRX1070680_NT2_DRIP-seq_RNaseA
Q20 Rate,0.919024,0.971215,SRX1070680_NT2_DRIP-seq_RNaseA
Q30 Rate,0.860763,0.913934,SRX1070680_NT2_DRIP-seq_RNaseA
Read1 Mean Length,100,100,SRX1070680_NT2_DRIP-seq_RNaseA
GC Content,0.474353,0.47059,SRX1070680_NT2_DRIP-seq_RNaseA
Total Reads (millions),47.390764,44.78709,SRX1070681_NT2_DRIP-seq_RNaseH
Total Bases (millions),4739.0764,4465.292799,SRX1070681_NT2_DRIP-seq_RNaseH
Q20 Bases (millions),4424.471367,4360.462751,SRX1070681_NT2_DRIP-seq_RNaseH
Q30 Bases (millions),4186.611825,4142.100089,SRX1070681_NT2_DRIP-seq_RNaseH
Q20 Rate,0.933615,0.976523,SRX1070681_NT2_DRIP-seq_RNaseH
Q30 Rate,0.883424,0.927621,SRX1070681_NT2_DRIP-seq_RNaseH
Read1 Mean Length,100,99,SRX1070681_NT2_DRIP-seq_RNaseH
GC Content,0.422186,0.418681,SRX1070681_NT2_DRIP-seq_RNaseH
Total Reads (millions),54.328887,51.101452,SRX1070682_K562_DRIP-seq
Total Bases (millions),5432.8887,5110.1452,SRX1070682_K562_DRIP-seq
Q20 Bases (millions),5064.976516,4996.534191,SRX1070682_K562_DRIP-seq
Q30 Bases (millions),4815.186551,4766.815856,SRX1070682_K562_DRIP-seq
Q20 Rate,0.932281,0.977768,SRX1070682_K562_DRIP-seq
Q30 Rate,0.886303,0.932814,SRX1070682_K562_DRIP-seq
Read1 Mean Length,100,100,SRX1070682_K562_DRIP-seq
GC Content,0.461093,0.457814,SRX1070682_K562_DRIP-seq
Total Reads (millions),49.264712,44.465877,SRX1070683_E14_DRIP-seq
Total Bases (millions),4926.4712,4446.5877,SRX1070683_E14_DRIP-seq
Q20 Bases (millions),4401.797057,4312.45483,SRX1070683_E14_DRIP-seq
Q30 Bases (millions),4110.670618,4053.727989,SRX1070683_E14_DRIP-seq
Q20 Rate,0.893499,0.969835,SRX1070683_E14_DRIP-seq
Q30 Rate,0.834405,0.911649,SRX1070683_E14_DRIP-seq
Read1 Mean Length,100,100,SRX1070683_E14_DRIP-seq
GC Content,0.418113,0.413012,SRX1070683_E14_DRIP-seq
Total Reads (millions),57.681588,51.569922,SRX1070684_3T3_DRIP-seq
Total Bases (millions),5768.1588,5156.9922,SRX1070684_3T3_DRIP-seq
Q20 Bases (millions),5107.587572,5006.362537,SRX1070684_3T3_DRIP-seq
Q30 Bases (millions),4769.519452,4705.218519,SRX1070684_3T3_DRIP-seq
Q20 Rate,0.88548,0.970791,SRX1070684_3T3_DRIP-seq
Q30 Rate,0.82687,0.912396,SRX1070684_3T3_DRIP-seq
Read1 Mean Length,100,100,SRX1070684_3T3_DRIP-seq
GC Content,0.446016,0.441983,SRX1070684_3T3_DRIP-seq
Total Reads (millions),58.352422,46.56624,SRX113812_Ntera2_DNA
Total Bases (millions),2335.504955,1821.092638,SRX113812_Ntera2_DNA
Q20 Bases (millions),2266.833958,1782.591306,SRX113812_Ntera2_DNA
Q30 Bases (millions),2160.30914,1697.633371,SRX113812_Ntera2_DNA
Q20 Rate,0.970597,0.978858,SRX113812_Ntera2_DNA
Q30 Rate,0.924986,0.932206,SRX113812_Ntera2_DNA
Read1 Mean Length,40,39,SRX113812_Ntera2_DNA
GC Content,0.438309,0.408061,SRX113812_Ntera2_DNA
Total Reads (millions),81.26648,68.076488,SRX113813_Ntera2_DNA
Total Bases (millions),4647.40356,3910.543026,SRX113813_Ntera2_DNA
Q20 Bases (millions),4328.533252,3701.131594,SRX113813_Ntera2_DNA
Q30 Bases (millions),4050.946089,3485.528459,SRX113813_Ntera2_DNA
Q20 Rate,0.931387,0.94645,SRX113813_Ntera2_DNA
Q30 Rate,0.871658,0.891316,SRX113813_Ntera2_DNA
Read1 Mean Length,57,57,SRX113813_Ntera2_DNA
GC Content,0.433171,0.412482,SRX113813_Ntera2_DNA
Total Reads (millions),30.436981,30.194723,SRX113814_Ntera2_DNA
Total Bases (millions),1152.475259,1142.784939,SRX113814_Ntera2_DNA
Q20 Bases (millions),1136.032053,1132.157006,SRX113814_Ntera2_DNA
Q30 Bases (millions),1112.096919,1108.907016,SRX113814_Ntera2_DNA
Q20 Rate,0.985732,0.9907,SRX113814_Ntera2_DNA
Q30 Rate,0.964964,0.970355,SRX113814_Ntera2_DNA
Read1 Mean Length,37,37,SRX113814_Ntera2_DNA
GC Content,0.405867,0.405425,SRX113814_Ntera2_DNA
Total Reads (millions),68.378256,67.936704,SRX1674681_3T3_DRIPc-seq
Total Bases (millions),6837.8256,6793.6704,SRX1674681_3T3_DRIPc-seq
Q20 Bases (millions),6598.620472,6566.029359,SRX1674681_3T3_DRIPc-seq
Q30 Bases (millions),6314.837749,6287.488351,SRX1674681_3T3_DRIPc-seq
Q20 Rate,0.965017,0.966492,SRX1674681_3T3_DRIPc-seq
Q30 Rate,0.923515,0.925492,SRX1674681_3T3_DRIPc-seq
Read1 Mean Length,100,100,SRX1674681_3T3_DRIPc-seq
GC Content,0.457784,0.457881,SRX1674681_3T3_DRIPc-seq
Total Reads (millions),11.794715,10.361439,SRX1761639_UNKNOWN
Total Bases (millions),589.73575,517.497348,SRX1761639_UNKNOWN
Q20 Bases (millions),509.519779,502.110023,SRX1761639_UNKNOWN
Q30 Bases (millions),486.059896,481.054496,SRX1761639_UNKNOWN
Q20 Rate,0.86398,0.970266,SRX1761639_UNKNOWN
Q30 Rate,0.824199,0.929579,SRX1761639_UNKNOWN
Read1 Mean Length,50,49,SRX1761639_UNKNOWN
GC Content,0.374342,0.365149,SRX1761639_UNKNOWN
Total Reads (millions),11.893921,10.231133,SRX1761640_UNKNOWN
Total Bases (millions),594.69605,511.55665,SRX1761640_UNKNOWN
Q20 Bases (millions),501.368273,495.62357,SRX1761640_UNKNOWN
Q30 Bases (millions),478.113256,474.723967,SRX1761640_UNKNOWN
Q20 Rate,0.843066,0.968854,SRX1761640_UNKNOWN
Q30 Rate,0.803962,0.927999,SRX1761640_UNKNOWN
Read1 Mean Length,50,50,SRX1761640_UNKNOWN
GC Content,0.360026,0.346272,SRX1761640_UNKNOWN
Total Reads (millions),15.608481,14.086435,SRX1761641_UNKNOWN
Total Bases (millions),780.42405,704.206794,SRX1761641_UNKNOWN
Q20 Bases (millions),697.003806,685.196692,SRX1761641_UNKNOWN
Q30 Bases (millions),665.402222,656.936856,SRX1761641_UNKNOWN
Q20 Rate,0.893109,0.973005,SRX1761641_UNKNOWN
Q30 Rate,0.852616,0.932875,SRX1761641_UNKNOWN
Read1 Mean Length,50,49,SRX1761641_UNKNOWN
GC Content,0.421342,0.415583,SRX1761641_UNKNOWN
Total Reads (millions),13.023575,11.652752,SRX1761643_UNKNOWN
Total Bases (millions),651.17875,582.246297,SRX1761643_UNKNOWN
Q20 Bases (millions),573.92373,567.723698,SRX1761643_UNKNOWN
Q30 Bases (millions),551.261643,547.534844,SRX1761643_UNKNOWN
Q20 Rate,0.881361,0.975058,SRX1761643_UNKNOWN
Q30 Rate,0.84656,0.940384,SRX1761643_UNKNOWN
Read1 Mean Length,50,49,SRX1761643_UNKNOWN
GC Content,0.382163,0.378814,SRX1761643_UNKNOWN
Total Reads (millions),10.593151,9.401801,SRX1761644_UNKNOWN
Total Bases (millions),529.65755,469.446487,SRX1761644_UNKNOWN
Q20 Bases (millions),463.842052,456.966166,SRX1761644_UNKNOWN
Q30 Bases (millions),444.814387,440.114017,SRX1761644_UNKNOWN
Q20 Rate,0.87574,0.973415,SRX1761644_UNKNOWN
Q30 Rate,0.839815,0.937517,SRX1761644_UNKNOWN
Read1 Mean Length,50,49,SRX1761644_UNKNOWN
GC Content,0.395761,0.395166,SRX1761644_UNKNOWN
Total Reads (millions),5.252303,4.768488,SRX1761645_UNKNOWN
Total Bases (millions),262.61515,238.384812,SRX1761645_UNKNOWN
Q20 Bases (millions),243.163691,233.007355,SRX1761645_UNKNOWN
Q30 Bases (millions),233.421816,224.354834,SRX1761645_UNKNOWN
Q20 Rate,0.925932,0.977442,SRX1761645_UNKNOWN
Q30 Rate,0.888836,0.941146,SRX1761645_UNKNOWN
Read1 Mean Length,50,49,SRX1761645_UNKNOWN
GC Content,0.405713,0.398252,SRX1761645_UNKNOWN
